Fleet_ID,Vehicle_Type,Mileage,Fuel_Consumption,Repair_Count,Age,Engine_Size,Load_Capacity
1,SUV,13.33121701334364,6.509098719179058,3.9108084377258856,11.91567400381877,3.1948144802903493,1775.1521847992458
2,Truck,-1.1619870007669135,11.089711419925797,2.6975660701988318,1.2881829201412343,4.202230023486417,12080.725777960455
3,Truck,1.3114975369409552,10.645135143002255,2.44662132085573,1.0989282730760437,4.234963019255433,11116.53160488281
4,Van,13.607106936410199,6.2523797197765765,3.89521739429478,11.99246345950219,2.3663618432936917,2912.1399684340718
5,Van,12.8271871345723,6.613569416499806,3.9202929816266305,10.524305540228916,2.4667628932479797,3719.8808134726414
6,Sedan,21.142181565016376,4.556836869488316,3.315101730032448,10.579262371170197,1.5959978999253819,868.3704798044687
7,Truck,4.969909979733957,8.882869914500974,3.013595998058659,6.474848506025371,4.666389823472329,6733.646535077721
8,Van,12.00147940247993,6.802298147879185,4.377665365460499,11.851859527055604,2.184854455525527,3939.1692555291174
9,Van,11.162022975900506,6.6607147839588645,5.413405473098206,14.456408340890889,2.5704439744053995,3041.6685200516476
10,Truck,3.398547062189471,10.259486441903565,3.154823603129172,2.972939149646677,3.5618690193747615,10426.960831582484
11,SUV,11.375534216124967,6.543736683960933,4.638610664570552,13.968212299186886,3.1852633107968087,2408.939962171517
12,Truck,7.102892930309331,9.058603448761897,3.5589826016578265,5.552566508374459,3.1271167005720475,8109.8232171566215
13,SUV,12.297278437083365,6.335550662357343,4.640128486928397,14.603969335447452,2.841865138771552,2074.390312130685
14,SUV,22.250486435036045,5.246748682807994,1.0435209613006489,1.3558677744173326,2.784099244072991,2141.3115275378245
15,Van,15.425111086891844,5.9982490601064455,3.32143634062448,9.461843309889442,2.6955160864261276,2278.6629088117515
16,SUV,14.059423795648774,6.366953893932939,4.338765111805261,12.313685313901837,2.2418319308810064,2894.5464785138597
17,Van,12.708098750211876,6.122070718663593,4.7211977169125685,13.365923624864156,2.2184404372168336,2833.0198957407324
18,Truck,-2.2714792820462324,9.455049232306273,5.6589811829047365,12.452206722914903,3.4558703250838834,9271.077886262563
19,Truck,4.873805971027503,9.146419897776639,2.445831927100241,4.417757311468838,4.384872065780541,7694.123337985215
20,Sedan,22.906190570377035,4.81100827101631,1.6469254886685816,4.524952141555098,2.463316707537249,1473.7131064594778
21,Truck,-4.78329322768913,10.048443008471988,6.1827480576350045,14.672609381657141,4.9954809700978835,7667.81014275285
22,Sedan,16.691333272913432,5.158904818575143,4.43829677820451,14.79910635754841,1.3883633337185899,1142.6169321942941
23,SUV,15.27023061867731,5.816682450352297,4.289445045830092,12.243956589318543,2.5544816840921065,1863.2399074161387
